고유번호,언어,상호명,콘텐츠URL,주소,신주소,전화번호,웹사이트,운영시간,교통정보,홈페이지 언어,대표메뉴
38024,ko,리치몬드 제과점 더현대서울점 ,https://korean.visitseoul.net/restaurants/리치몬드-제과점-더현대서울점/KOP038024?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP038024, 서울 영등포구 여의도동 22 ,"07335 서울 영등포구 여의대로 108 (여의도동, 파크원)  더현대서울 지하 1층",02-3277-0798,,10:30 - 20:00,5호선 여의나루역 1번 출구에서 427m,,"밤파이 3,500원 슈크림 3,300원 레몬케이크 3,500원 밤식빵 9,800원"
5780,ko,콰이19,https://korean.visitseoul.net/restaurants/콰이19/KOP005776?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005776, 서울 강남구 신사동 564-12 524-1,06032 서울 강남구 도산대로25길 16 (신사동) 1층,02-540-4155,https://www.instagram.com/kuai_china_flavor/?igshid=llol1ut93c8z,평일 11:30 ~ 15:00 / 17:30 ~ 22:00 토요일 11:30 ~ 22:00,3호선 압구정역 4번 출구  ,,"등갈비 깐풍소스, 매운 고추 닭날개, 오향장육, 중국식냉면"
11689,ko,성천막국수,https://korean.visitseoul.net/restaurants/성천막국수/KOP011689?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011689, 서울 동대문구 답십리동 33-28 ,02614 서울 동대문구 답십리로48나길 2 (답십리동) ,0507-1329-5529,,"월 - 금 11:30 - 15:00 / 17:00 - 21:00 , 토 11:30 - 17:00",5호선 답십리역 4번 출구   ,,"물막국수, 비빔막국수, 제육 "
6805,ko,자하손만두,https://korean.visitseoul.net/restaurants/자하손만두/KOP006805?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006805,110-817 서울 종로구 부암동 245-2 ,03020 서울 종로구 백석동길 12 ,02-379-2648,,화~일 11:00~21:00,3호선 경복궁역 3번 출구,,"만두국, 떡만두국, 만두전골"
28337,ko,전골목,https://korean.visitseoul.net/restaurants/전골목/KOP028337?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028337,121-803 서울 마포구 공덕동 256-10 ,"04214 서울 마포구 만리재로 19 (공덕동, 공덕시장) ",,,점포별 상이,5?6호선?경의중앙선?공항철도 공덕역 5번 출구,,
4541,ko,장수갈비집본가,https://korean.visitseoul.net/restaurants/장수갈비집본가/KOP004540?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004540,100-011 서울 중구 충무로1가 25-45 25-45,04535 서울 중구 명동2길 54-1 (충무로1가) ,02-775-9292,,11:00 ~ 22:00 (Last order 21:15),4호선 명동역 5번 출구  ,,"한식(장수갈비,장수국밥)"
6599,ko,갯마을낙지,https://korean.visitseoul.net/restaurants/갯마을낙지/KOP006597?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006597,138-862 서울 송파구 잠실동 197-7,"05562 서울 송파구 백제고분로9길 6 (잠실동, sms) ",02-412-7895,,11:00 ~ 24:00 ,2호선 종합운동장역 1번 출구  ,,산낙지 철판 
34998,ko,깃털,https://korean.visitseoul.net/restaurants/깃털/KOP034998?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP034998, 서울 마포구 동교동 153-11 ,03994 서울 마포구 동교로 212-2 (동교동) 2층,070-4090-1162,https://www.instagram.com/gitteol_hongyang,18:00 - 익일 5:00,2호선 홍대입구역 3번 출구,한국어,칵테일
4826,ko,이태원숯불구이,https://korean.visitseoul.net/restaurants/이태원숯불구이/KOP004826?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004826,140-863 서울 용산구 이태원동 44-50 ,04390 서울 용산구 녹사평대로32길 43 (이태원동) ,02-797-7777,,매일 11:30~22:00,6호선 녹사평역 3번 출구,,"특등심, 일반등심, 곰탕"
4409,ko,비꼴로,https://korean.visitseoul.net/restaurants/비꼴로/KOP004407?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP004407, 서울 중구 명동2가 54-6 2-6,04536 서울 중구 명동6길 8 (명동2가) ,02-756-0908,,"11:30~16:00, 17:00~22:00",4호선 명동역 6번 출구,,"까르보나라, 리키토니 크림파스타, 루꼴라 프루슈토 피자"
13108,ko,서초 남순남순대국 ,https://korean.visitseoul.net/restaurants/서초남순남순대국/KOP013108?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013108,135-860 서울 강남구 도곡동 945-2 ,"06258 서울 강남구 도곡로4길 12 (도곡동, 지엠빌딩) ",0507-1419-3227,http://blog.naver.com/bbajijik ,월~토 10:00~21:30,3호선 양재역 3번 출구    ,,"일반순대국, 일반순대, 토종순대국, 삼색순대"
3426,ko,너비집,https://korean.visitseoul.net/restaurants/너비집/KOP003422?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP003422,100-845 서울 중구 을지로2가 199-73 199-73,04534 서울 중구 명동9길 37-8 (을지로2가) ,02-756-4084,,11:00 ~ 21:30,2호선 을지로입구역 5번 출구,,생왕갈비 매운갈비찜
28350,ko,스타벅스 이대R점,https://korean.visitseoul.net/restaurants/스타벅스-코리아-1호점/KOP028350?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028350,120-808 서울 서대문구 대현동 54-4 ,"03767 서울 서대문구 이화여대길 34 (대현동, 신흥빌딩) ",1522-3232,http://www.istarbucks.co.kr/index.do,"월~토 08:00~21:00, 일요일 09:00~20:00",2호선 이대역 3번 출구,한국어,
13847,ko,벨라프라하,https://korean.visitseoul.net/restaurants/벨라프라하/KOP013843?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013843, 서울특별시 서대문구 대현동 37-35 ,03766 서울특별시 서대문구 이화여대길 77 (대현동) ,0507-1319-3559,,월~토 11:00 ~ 22:00 ,2호선 이대역 2번 출구,,
27217,ko,카페 아르무아,https://korean.visitseoul.net/restaurants/카페-아르무아/KOP027217?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP027217,143-914 서울 광진구 화양동 5-32 ,05017 서울 광진구 동일로22길 117-27 (화양동) ,02-463-9981,http://www.instagram.com/cafe_armoire,매일 12:00 - 23:00,"2,7호선 건대입구 역 2, 3번 출구에서 도보 5분",,"24h 밀크티, 생긴 것도 치즈케이크"
40794,ko,더베이커스테이블 (The Baker's Table),https://korean.visitseoul.net/restaurants/더베이커스테이블-The-Bakers-Table/KOP040794?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP040794, 서울 용산구 이태원동 691 ,04343 서울 용산구 녹사평대로 244-1 (이태원동) ,0507-1461-3503,http://www.thebakerstable.co.kr ,"월~금 08:00~21:00, 토~일 08:00~20:00",6호선 녹사평역 2번 출구,영어,
42372,ko,[백년가게] 평양옥,https://korean.visitseoul.net/restaurants/백년가게-평양옥/KOP042372?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP042372, 서울 서대문구 미근동 31-11 ,03739 서울 서대문구 통일로 107-23 (미근동) ,02-363-7058,,"월~금 11:00~14:30, 16:30~22:00 / 토11:00~22:00",서대문역 7번 출구,,"닭곰탕, 해신탕, 백숙"
11581,ko,콩두,https://korean.visitseoul.net/restaurants/콩두/KOP011581?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011581,100-120 서울 중구 정동 1-54 ,04519 서울 중구 덕수궁길 116-1 서울 역사박물관 1층,02-722-7002,https://congdu.modoo.at/,매일 11:30~15:00 / 18:00~22:00,5호선 광화문역 6번 출구   ,,"초록빛 코스, 햇빛 코스, 물빛 코스"
34993,ko,카페 봇봇봇,https://korean.visitseoul.net/restaurants/카페봇봇봇/KOP034993?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP034993, 서울 성동구 성수동2가 277-135 ,04797 서울 성동구 아차산로9길 8 (성수동2가) ,0507-1322-9219,http://www.instagram.com/_bot.bot.bot/,"평일08:30~20:30, 주말 09:30~21:30 ",2호선 성수역 2번 출구,,"로맨슈페너 BOT 6,500원 라임 모히또 BOT 9,000원 아이스 아메리카노 5,000원 트리플 치즈 크로와상 10,000원"
7965,ko,손칼국수감자수제비,https://korean.visitseoul.net/restaurants/손국시/KOP007965?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007965,135-819 서울 강남구 논현동 91-26 ,06054 서울 강남구 언주로150길 9 ,02-542-6808,,"평일 10:00~20:00, 토요일 10:00~17:00 ",7호선 학동역 10번 출구,,"손칼국숙, 수제비, 콩국수"
1211,ko,로마네꽁띠,https://korean.visitseoul.net/restaurants/로마네꽁띠/KOP001211?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP001211, 서울 종로구 삼청동 62-6 ,03053 서울 종로구 북촌로5나길 83-6 ,02-722-1633,,"월~금 11:30~23:00, 토요일 16:00~23:00",3호선 안국역 2번 출구,,"알리오올리오 파스타, 꼬꼬뱅, 등심스테이크"
6591,ko,두가헌,https://korean.visitseoul.net/restaurants/두가헌/KOP006587?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006587,110-190 서울특별시 종로구 사간동 80,03062 서울특별시 종로구 삼청로 14 (사간동) ,02-3210-2100,http://www.dugahun.com,12:00 ~ 22:00,3호선 안국역 6번 출구  ,,
32703,ko,전통 깊은 우리 술 <한국의 전통주>,,  ,  ,,,,,,
12989,ko,와세다야,https://korean.visitseoul.net/restaurants/와세다야-K/KOP012986?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012986,140-030 서울특별시 용산구 이촌동 300-10,04425 서울특별시 용산구 이촌로88길 3  (이촌동) ,02-796-0608,,"월~토 17:00~24:00, 일요일 16:00~22:00","4호선, 경의중앙선 이촌역 3-1번 출구  ",,"특상우설, 천엽사시미, 안심, 항정살소금구이"
28053,ko,코끼리분식,https://korean.visitseoul.net/restaurants/2023029/KOP028053?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP028053, 서울 마포구 도화동 345-4 ,04172 서울 마포구 도화2길 3 (도화동) ,02-717-9061,https://www.instagram.com/koggiri_mapo_line5/,09:30~21:00(라스트오더 20:30),5호선 마포역 3번 출구에서 270m,한국어,"즉석떡볶이, 김밥, 참치주먹밥"
13138,ko,파크루안 역삼점,https://korean.visitseoul.net/restaurants/루안-KR/KOP013134?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013134,135-921 서울특별시 강남구 역삼2동 726,06223 서울특별시 강남구 논현로 430 (역삼동) 아세아빌딩 지하 1층,0507-1424-5565,http://www.parkruan.com/,매일 11:30 ~ 22:00  (평일 Break time 15:00 ~ 17:30),2호선 역삼역 1번 출구  ,한국어,"웰빙삼선콩자장면, 왕갈비짬뽕, 찹쌀탕수육, 잡채밥"
13153,ko,타지,https://korean.visitseoul.net/restaurants/타지1/KOP013151?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013151,100-021 서울특별시 중구 명동1가 1-3,04538 서울특별시 중구 명동길 73 (명동1가)  YWCA연합회 2F,0507-1410-0677,https://www.instagram.com/welcometo_taj/,평일 11:30 ~ 15:00 / 17:30 ~ 22:00  주말 11:30 ~ 22:00 ,"2,3호선 을지로3가역 12번 출구  ",,"치킨커리, 오늘의채식커리"
13263,ko,참나무숯불에닭이만나는순간(희래),https://korean.visitseoul.net/restaurants/참나무숯불에닭이만나는순간희래-KR/KOP013260?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013260,137-130 서울특별시 서초구 양재동 368,06786 서울특별시 서초구 동산로6길 37 (양재동) ,0507-1443-6616,,15:00 ~ 24:00,신분당선 양재시민의 숲역(매헌) 3번 출구 ,,닭갈비
10754,ko,더레스토랑,https://korean.visitseoul.net/restaurants/더레스토랑/KOP010754?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP010754,110-200 서울특별시 종로구 소격동 59-1,03053 서울특별시 종로구 삼청로 54 (소격동) ,02-735-8441,http://therestaurant.co.kr/,매일 10:00 ~ 22:00 1F 카페 매일 12:00 ~ 15:00 / 18:00 ~ 22:00 2F 레스토랑,"3호선 안국역 1,2번 출구",,"시푸드토마토파스타, 그린티케이크"
13896,ko,여자만,https://korean.visitseoul.net/restaurants/여자만/KOP013894?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013894, 서울 종로구 관훈동 84-11 ,03146 서울 종로구 인사동14길 24-2 (관훈동) ,02-723-1238,,"평일 11:30~21:20, 주말 11:30~20:30",3호선 안국역 6번 출구,,"벌교참꼬막, 양념참꼬막, 정식, 모둠전"
15852,ko,슈퍼집,https://korean.visitseoul.net/restaurants/슈퍼집/KOP015852?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP015852,135-832 서울 강남구 논현동 246-1 ,"06098 서울 강남구 언주로130길 14 (논현동, 회림빌딩) ",0507-1439-1591,https://www.instagram.com/superzip_topokki_/,"월~금 11:30~13:50, 15:30~21:50","지하철 7호선 학동역 1번출구에서 도보 530m, 강남구청역 2번출구에서 480m",,"깻잎 떡볶이, 마늘 떡볶이"
13903,ko,브루스리,https://korean.visitseoul.net/restaurants/브루스리/KOP013899?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP013899,137-890 서울 서초구 양재동 87-5 87-5,06746 서울 서초구 양재천로 147-1 (양재동) ,02-576-8845,,매일 11:30 ~ 22:00,3호선 양재역 8번 출구  ,,"삼선 찐만두, 우육면, 돼지고기부추무침, 완탕"
15409,ko,마우스래빗,https://korean.visitseoul.net/restaurants/마우스래빗/KOP015409?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP015409,143-914 서울 광진구 화양동 5-14 ,05017 서울 광진구 능동로11길 10 ,02-462-4015,http://www.instagram.com/mouserabbit_official,매일 12:00 ~ 23:00 ,"지하철 2, 7호선 건대입구역 3번출구 도보 6분 ",,"아메리카노, 레몬모히또, 딸기빙수, 초코빙수"
15849,ko,쇼린,https://korean.visitseoul.net/restaurants/쇼린/KOP015849?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP015849,135-955 서울 강남구 청담동 117-10 ,06011 서울 강남구 도산대로81길 18 (청담동) ,0507-1488-3100,https://www.instagram.com/shorin_/,평일 18:00 ~ 24:00 토요일 17:00~24:00,지하철 분당선 압구정로데오역 3번 출구,,"우니테이스팅, 우니한우육회, 우니소바, 한우스키야키, 사시미, 오마카세"
19331,ko,텍사스 데 브라질,https://korean.visitseoul.net/restaurants/텍사스-데-브라질/KOP019331?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP019331,137-040 서울 서초구 반포동 118-3 ,06545 서울 서초구 사평대로 205 (CENTRALCITY반포천 복개주차장) ,02-6282-5000,http://www.sunatfood.com/kr/brand/tb/story,평일 11:30 ~ 16:00 / 17:30 ~ 22:30 주말 11:30 ~ 16:00 / 17:00 ~ 22:30,3호선 고속터미널역 3번 출구  7호선 고속터미널역 3번 출구,한국어,"슈하스코 (브라질리언스테이크) , 피카냐 스테이크, 플랭크 스테이크 "
20006,ko,서촌전통순대국,https://korean.visitseoul.net/restaurants/서촌전통순대국/KOP020006?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP020006,110-044 서울 종로구 필운동 148-1 ,03027 서울 종로구 사직로9가길 8 (필운동) ,02-735-0122,,"평일 10:30~21:00, 주말 10:30~20:00",3호선 경복궁역 1번 출구에서 도보 약 7분,,"순대국, 뼈해장국, 모듬순대, 모듬전골"
30237,ko,남한강 매운탕,https://korean.visitseoul.net/restaurants/남한강-매운탕/KOP030237?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP030237,134-830 서울 강동구 명일동 345-1 ,05295 서울 강동구 양재대로 1594 (명일동) ,02-481-7779,http://www.xn--939at0gxwj4knpkmusg.kr/,매일 11:00 ~ 21:30,5호선 굽은다리역 3번 출구,한국어,
29552,ko,성수동 갈비골목,https://korean.visitseoul.net/restaurants/성수동-갈비골목/KOP029552?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP029552,133-824 서울 성동구 성수동1가 668-21 ,04768 서울 성동구 서울숲4길 27 (성수동1가) ,,,,2호선 뚝섬역 8번 출구 분당선 서울숲역 4번 출구,,
19417,ko,모범떡볶이1976 신촌직영점,https://korean.visitseoul.net/restaurants/모범떡볶이1976-신촌직영점/KOP019417?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP019417,120-834 서울 서대문구 창천동 53-23 ,"03787 서울 서대문구 연세로7길 46 (창천동, 창서빌딩) ",02-565-1976,http://www.mobumtopokki.com/,월~토 11:00~23:00  일 11:30~22:30  (준비시간: 매일 15:00~16:00),2호선 신촌역 1번 출구,,"통오징어 떡볶이, 차돌 떡볶이"
37781,ko,"더브레드블루 신촌본점	",https://korean.visitseoul.net/restaurants/더브레드블루-신촌본점/KOP037781?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP037781, 서울 마포구 노고산동 54-58 ,04057 서울 마포구 신촌로12다길 3 (노고산동) 1층,"070-4128-0720	",www.thebreadblue.com,"월 - 토 10:00 ~ 21:00 / 일 09:00 ~ 21:00 	 ※ 설 연휴, 추석 연휴 휴관","2호선 신촌역 8번출구	",한국어,"베이커리 제품	"
14148,ko,반짝반짝빛나는,https://korean.visitseoul.net/restaurants/반짝반짝빛나는/KOP014145?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014145,110-300 서울특별시 종로구 관훈동 6,03148 서울특별시 종로구 인사동길 28-1 (관훈동) ,02-738-4525,,12:00 - 23:00 ,1호선 종각역 3번 출구,,카페
29977,ko,케르반 코엑스점,https://korean.visitseoul.net/restaurants/케르반-코엑스점/KOP029977?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP029977,135-975 서울 강남구 삼성동 159 ,"06164 서울 강남구 봉은사로 524 (삼성동, 코엑스인터콘티넨탈서울) B1 H105",02-556-4767,,평일 11:00 - 15:00 / 16:30 - 22:00 주말 11:00 - 22:00,"2호선 삼성역 5, 6번 출구 9호선 봉은사역 7번 출구",,"믹스 쉬시 케밥, 양고기 쉬시 케밥, 닭고기 쉬시 케밥"
14597,ko,부에노스아이레스,https://korean.visitseoul.net/restaurants/부에노스아이레스-KR/KOP014595?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014595,137-902 서울특별시 서초구 잠원동 8-2,06524 서울특별시 서초구 강남대로107길 21 (잠원동) ,02-3444-6634,http://www.buenosaires.co.kr/,"평일 18:00 ~ 22:30 토,공휴일 18:00 ~ 22:00",3호선 신사역 5번 출구  ,,"부에노스아이레스SET, 오벨리스코SET, 등심스테이크"
11564,ko,토담골,https://korean.visitseoul.net/restaurants/토담골/KOP011564?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP011564,135-952 서울 강남구 청담동 49 ,"06070 서울 강남구 삼성로 766 (청담동, 유림빌딩) ",02-548-5115,,11:30 ~ 15:00 / 17:00 ~ 22:00,7호선 청담역 9번 출구   ,,"토담골정식, 꽁보리밥, 꽁보리열무비빔밥, 돌솥곱창냉이찌개"
14526,ko,부흥동태,https://korean.visitseoul.net/restaurants/부흥동태-kr/KOP014523?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014523,150-886 서울특별시 영등포구 여의도동 36-4,07331 서울특별시 영등포구 국제금융로8길 34 (여의도동) ,02-782-7707,,평일 09:00 ~ 22:00 토요일 11:00 ~ 15:00,5호선 여의도역 5번 출구  ,,동태내장전골 동태알탕 동태탕
14616,ko,모녀김밥,https://korean.visitseoul.net/restaurants/모녀김밥/KOP014615?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP014615, 서울특별시 종로구 종로5가 395-4 ,03195 서울 종로구 동호로 403-23 (예지동) ,02-2273-8330,,매일 09:30 ~ 21:00,1호선 종로5가역 8번 출구  ,,김밥
12404,ko,영춘옥,https://korean.visitseoul.net/restaurants/영춘옥/KOP012404?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012404,110-808 서울 종로구 돈의동 131-1 131-1,03139 서울 종로구 돈화문로5가길 13 (돈의동) ,02-765-4237,,,1호선 종로3가역  2-1번 출구  ,,"꼬리곰탕, 곰탕, 해장국, 편육"
5524,ko,벽제갈비 타워팰리스점,https://korean.visitseoul.net/restaurants/벽제타워팰리스/KOP005524?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP005524,135-554 서울 강남구 도곡동 467-29 ,06294 서울 강남구 언주로30길 26 (타워팰리스) VANNT 1층(도곡동),02-2058-3535, https://www.bjgalbi.com/index,"매일 11:30~22:00 Break Time (평일 15:00~17:00, 주말공휴일 브레이크타임 없음)",분당선 도곡역 4번 출구,,"설화생갈비, 설화꽃등심, 갈비탕"
12152,ko,서강8경,https://korean.visitseoul.net/restaurants/서강8경/KOP012148?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012148, 마포구 상수동 356-6 ,"04081 서울특별시 마포구 토정로 128 (상수동) 프렌치룸레스토랑8층, 홀 다이닝바9층",02-334-1919,http://www.seogang8kyoung.co.kr/,12:00 ~ 15:00 / 17:30 ~ 19:30 / 20:00 ~ 24:00,6호선 상수역 3번 출구  ,,
12167,ko,앵콜칼국수,https://korean.visitseoul.net/restaurants/앵콜칼국수/KOP012163?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP012163,137-927 서울 서초구 서초동 1451-94 1451-94,06719 서울 서초구 효령로52길 69 (서초동) ,02-525-8418,https://mokchonjib.modoo.at/,11:00 ~ 21:00 ,3호선 남부터미널역 5번 출구  ,,"옛날칼국수, 팥칼국수, 매생이굴전, 냉콩국수, 팥죽"
7086,ko,동해별관,https://korean.visitseoul.net/restaurants/동해별관1/KOP007083?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP007083,135-010 서울 강남구 논현동 198-18,06120 서울특별시 강남구 강남대로112길 13 (논현동) ,02-3445-7979,,17:00 - 22:30,9호선 신논현 3번 출구  ,,물회
6970,ko,조선옥,https://korean.visitseoul.net/restaurants/조선옥/KOP006970?utm_source=seoulopendata&utm_medium=restaurants&utm_content=KOP006970,100-847 서울 중구 을지로3가 229-1 ,04544 서울 중구 을지로15길 6-5 ,02-2266-0333,,"월~토 11:30~14:30, 16:30~21:30",2호선 을지로3가역 6번 출구,,"양념소갈비, 갈비탕, 대구탕, 장국밥"
